"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"749
Response Surface Methods I","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"756","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"756","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"756","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Multivariate Analysis","Course Total","","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"826
Thry-Life Testng&Reliabilty","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"832
Theory of Probability","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"833
Topics in Probability","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"850
Thry&Appl-Regres&Anal VarII","001","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","102","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","134","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","26","4.000","84.6",".",".",".",".",".",".","11.5",".",".",".","3.8",".",".",".","."
"992
Seminar","001","","16","3.897","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Statistical Consulting","001","","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"STAT
932","Dept. Total","","1351","3.204","33.2","20.0","22.7","8.0","11.3","2.3","1.2","0.5","0.1","0.4",".","0.1",".","0.1","0.1","."
