"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","20","3.684","55.0","30.0","5.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","104
002","","16","3.400","43.8","12.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".","6.3","."
"","003
104","","17","3.412","41.2","29.4","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","004
104","","19","3.237","21.1","42.1","15.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".","."
"","104
005","","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","82","3.450","41.5","28.0","14.6","6.1","6.1","1.2",".","1.2",".",".",".",".",".",".","1.2","."
"Intro to Latin Literature","001
204","","16","2.906","37.5","18.8","18.8",".","6.3","6.3","12.5",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","17","3.647","52.9","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Latin Poetry","519
001","","10","3.450","30.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Graduate Survey","802
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","890
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"LATIN
524","Dept. Total","","137","3.434","46.0","27.0","12.4","3.6","5.8","1.5","1.5","1.5",".",".",".",".",".",".","0.7","."
