"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","15","3.733","80.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
003","13","3.154","38.5",".","38.5",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","42","3.643","73.8",".","16.7",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"","001
110","13","4.000","76.9",".",".",".",".",".",".","15.4",".",".",".",".",".","7.7",".","."
"","002
110","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Human Dev:Career Strategies","Course Total","27","4.000","85.2",".",".",".",".",".",".","7.4",".",".",".",".",".","7.4",".","."
"","115
002","15","3.600","86.7",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","115
003","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","115
004","25","3.833","76.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".","."
"","115
005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
007","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
008","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","009
115","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","115
010","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
011","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
013","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","124","3.860","83.1","9.7","1.6","1.6","0.8",".","0.8",".",".",".",".",".",".","2.4",".","."
"Theory & Prac-Interviewing","650
001","113","3.960","93.8","4.4","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","665
001","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Counslng-Community Settings","791
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","001
801","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac:Grp Work-Cnslrs","802
001","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Guid Prog Plan & Management","803
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling I","806
001","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
001","9","3.829","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Prac-Coun III: Adv","Course Total","20","3.928","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","810
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Assess Tech-Couns Psych","890
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".","12.5",".",".",".","."
"Couns Psych Practicum","901
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
