"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"227
Propagation of Hort Plants","001","","45","2.989","26.7","13.3","26.7","11.1","15.6","6.7",".",".",".",".",".",".",".",".",".","."
"233
Herbaceous Ornamntl Plnt II","001","","27","3.463","63.0","3.7","18.5",".","11.1","3.7",".",".",".",".",".",".",".",".",".","."
"264
Landscape Plants II","001","","17","3.500","58.8","11.8","11.8",".","5.9","5.9",".","5.9",".",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"320
Environment of Hort Plants","001","","24","3.250","29.2","45.8","4.2","4.2","12.5",".","4.2",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","7","3.286","28.6","28.6","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"367
Pesticides-Iss & Applicator","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Undergraduate Seminar","001","","22","3.619","63.6","18.2","9.1",".",".",".","4.5",".",".",".",".",".","4.5",".",".","."
"501
Principles-Plant Breeding","001","","13","2.962","30.8","7.7","23.1",".","38.5",".",".",".",".",".",".",".",".",".",".","."
"502
Techniques-Plant Breeding","001","","10","3.450","50.0",".","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"561
Introductory Cytogenetics","001","","7","3.132","14.3","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","17","3.250","5.9","35.3","52.9",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"681
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"850
Advanced Plant Breeding","001","","14","3.731","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"910
Seminar","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","7","4.000","14.3",".",".",".",".",".",".","42.9",".",".",".","42.9",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","47","3.961","66.0","2.1","4.3",".",".",".",".","10.6",".",".",".","17.0",".",".",".","."
