"","990
030","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
037","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","10","4.000","40.0",".",".",".",".","",".","",".","60.0","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","999
037","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"S&A PHM
732","Dept. Total","270","3.255","27.4","24.4","28.1","14.1","3.7","",".","",".","2.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","92","3.066","12.0","28.3","37.0","17.4","5.4","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.882","80.0","20.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","18","3.413","33.3","33.3","16.7","16.7",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","125","3.203","23.2","28.0","29.6","15.2","4.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","29","3.988","75.9","3.4",".",".",".","",".","",".","20.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","113","3.184","17.7","26.5","34.5","16.8","4.4","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","115","3.199","19.1","26.1","33.9","16.5","4.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","270","3.255","27.4","24.4","28.1","14.1","3.7","",".","",".","2.2","",".",".","",".","",".","",".",".",".","."
