"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","159","3.013","23.3","13.8","34.6","8.8","14.5","3.1","1.3",".",".",".",".",".",".",".","0.6","."
"Introduction to Phonetics","200","001","35","3.714","68.6","11.4","17.1",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","33","3.121","18.2","27.3","30.3","15.2","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","32","3.438","31.3","40.6","18.8","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","57","3.395","26.3","50.9","10.5","7.0","1.8","3.5",".",".",".",".",".",".",".",".",".","."
"Speech Pathology II","318","001","64","3.468","21.9","51.6","21.9","3.1",".",".",".",".",".",".",".",".",".",".","1.6","."
"Introduction to Audiology","320","001","77","3.494","29.9","45.5","20.8","1.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","38","3.447","23.7","42.1","34.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","61","3.418","26.2","37.7","31.1","3.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","63","3.468","39.7","20.6","36.5",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","16","3.594","18.8","81.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711","001","34","3.721","44.1","55.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Audiology II","721","001","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation II","722","001","14","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrophysiolog Audiometry","729","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Supervision-Comm Disorders","751","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","001","17","3.794","82.4",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","13","3.929","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","20","3.886","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","006","21","3.833","76.2","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","83","3.865","81.9","9.6","7.2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 185 of 383",""
