"","699
021","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Poetry","910
001","","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar-Related Fields","970
001","","10","3.950","90.0","10.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"GREEK
428","Dept. Total","","60","3.600","71.7","13.3","3.3","5.0","3.3","1.7","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","1.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","3","1.550",".",".",".","33.3","33.3",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","7","3.630","57.1","28.6",".","14.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","3.489","53.8","15.4","15.4","7.7","7.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","24","3.195","45.8","16.7","8.3","12.5","8.3","4.2","4.2","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","35","3.939","88.6","11.4",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","60","3.600","71.7","13.3","3.3","5.0","3.3","1.7","1.7","",".","",".",".","",".","",".","",".",".",".","."
