"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"","994
045","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"Research-Inorganic","Course Total","38","3.962","52.6",".","2.6",".",".",".",".","31.6","",".",".","",".","13.2","",".",".",".","."
"","995
004","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","995
027","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","995
042","9","4.000","55.6",".",".",".",".",".",".","11.1",".","",".",".","","33.3",".","",".",".","."
"Rsch-Macromolecular Chem","Course Total","11","4.000","54.5",".",".",".",".",".",".","9.1","",".",".","",".","36.4","",".",".",".","."
"CHEM
224","Dept. Total","4330","3.017","30.8","12.5","25.6","6.8","14.9","3.9","1.5","2.2","",".","0.9","",".","0.6","",".","0.2","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1065","2.760","18.9","10.5","29.1","10.1","21.9","7.0","2.3",".","",".",".","",".",".","",".","0.2",".","."
"Sophomore","","1219","3.073","30.0","13.9","26.8","8.0","15.8","4.2","1.3",".","",".",".","",".",".","",".","0.1",".","."
"Junior","","905","3.060","30.9","12.5","31.6","5.4","15.5","2.8","1.2",".","",".",".","",".",".","",".",".",".","0.1"
"Senior","","586","3.052","35.2","16.7","23.5","6.3","12.3","3.1","2.0","0.2","",".",".","",".",".","",".","0.7",".","."
"Undergraduates","","3775","2.957","27.9","13.0","28.1","7.7","16.9","4.5","1.7","0.0","",".",".","",".",".","",".","0.2",".","0.0"
"Special","","60","3.272","45.0","13.3","13.3","5.0","13.3","3.3","1.7","1.7","",".","1.7","",".",".","",".",".","1.7","."
"Graduate","","602","3.806","47.5","7.0","6.8","0.3","0.2",".",".","27.4","",".","6.3","",".","4.5","",".",".",".","."
"Prof Yr 3","","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".","",".",".",".","."
"Professionals","","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".",".","",".",".",".","."
"","Dept. Total","4440","3.017","30.8","12.2","25.0","6.7","14.5","3.9","1.4","3.8","",".","0.9","",".","0.6","",".","0.2","0.0","0.0"
