"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","27","2.741","14.8","14.8","18.5","22.2","22.2","7.4",".",".",".",".",".",".",".",".",".","."
"","002
362","144","2.900","15.3","8.3","39.6","17.4","8.3","2.8","2.1","6.3",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","171","2.873","15.2","9.4","36.3","18.1","10.5","3.5","1.8","5.3",".",".",".",".",".",".",".","."
"","363
001","38","3.013","18.4","13.2","39.5","21.1","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","363
002","207","2.918","11.6","14.5","31.9","25.1","10.1","0.5","1.0","4.8",".",".",".",".",".","0.5",".","."
"Develp: Adolescence-Old Age","Course Total","245","2.934","12.7","14.3","33.1","24.5","9.4","0.4","1.2","4.1",".",".",".",".",".","0.4",".","."
"Family Relationships","001
366","197","2.949","16.2","19.3","30.5","17.3","10.7","5.1","0.5","0.5",".",".",".",".",".",".",".","."
"Mass Media and the Family","001
376","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intellect Develop&Preschool","460
001","33","3.924","90.9","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soc&Emotnl Dev-Early Educ","461
001","45","3.822","80.0","17.8",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Teaching Laboratory","463
001","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","42","3.548","57.1","16.7","16.7","7.1",".",".","2.4",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","32","3.672","43.8","46.9","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Minority Families-US","474
001","30","3.767","70.0","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501
001","25","3.840","84.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","42","3.650","64.3","23.8","2.4",".",".",".","4.8","2.4",".",".",".",".","2.4",".",".","."
"Family Perspctv-Policymakng","535
001","28","3.648","46.4","35.7","10.7","3.6",".",".",".",".",".",".",".",".","3.6",".",".","."
"Early Child Ed Tchg Practcm","564
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Preschool Stdt Teacher Smr","565
001","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sr Seminar-Chld&Fam Studies","566
001","22","3.500","31.8","36.4","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
019","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
041","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","Course Total","20","3.954","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","14","3.971","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Infancy and the Family","760
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Aging and the Family","763
001","7","3.833","71.4",".","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","766
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
003","10","3.853","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
