"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
040","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
053","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
058","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","10","3.654","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","188","3.085","8.0","37.8","41.5","3.7","3.7","3.2","2.1",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","86","3.018","20.9","15.1","31.4","14.0","12.8",".","2.3",".",".",".",".",".","1.2","2.3",".","."
"202
001
W Culture:Sci,Tech,Phil II","101","2.860","16.8","11.9","34.7","15.8","13.9","3.0","3.0",".",".",".",".",".",".","1.0",".","."
"204
001
West Cult: Lit&The Arts II","177","3.194","19.2","28.2","33.3","12.4","4.5",".","1.1","1.1",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","152","3.111","17.1","21.1","36.2","17.8","4.6","0.7","0.7","2.0",".",".",".",".",".",".",".","."
"001
208
Hist of Western Culture II","38","2.987","13.2","21.1","31.6","18.4","15.8",".",".",".",".",".",".",".",".",".",".","."
"236
001
Bascom Course","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","26","3.440","34.6","26.9","26.9","3.8","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"271
001
PreCoperncn Astrn-Crosscltr","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
001
Special Topics in ILS","10","3.000","40.0","20.0","20.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"400
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"400
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Senior Seminar","4","***","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","826","3.104","18.0","24.3","33.5","11.3","6.5","1.3","1.6","0.7",".","2.2",".",".","0.1","0.4",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","233","2.895","10.7","16.7","39.5","14.6","9.4","3.0","2.1",".",".","3.4",".",".",".","0.4",".","."
"Sophomore","314","3.161","17.2","26.4","38.9","9.6","3.5","0.6","1.6",".",".","2.2",".",".",".",".",".","."
"Junior","152","3.266","23.7","31.6","26.3","8.6","5.3","0.7","0.7",".",".","2.0",".",".","0.7","0.7",".","."
"Senior","127","3.154","26.8","24.4","18.1","12.6","10.2","0.8","1.6","4.7",".",".",".",".",".","0.8",".","."
"Undergraduates","826","3.104","18.0","24.3","33.5","11.3","6.5","1.3","1.6","0.7",".","2.2",".",".","0.1","0.4",".","."
"Dept. Total","826","3.104","18.0","24.3","33.5","11.3","6.5","1.3","1.6","0.7",".","2.2",".",".","0.1","0.4",".","."
