"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","40","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
170","16","3.125","31.3","6.3","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","004
170","14","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
170","16","3.531","31.3","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","71","3.430","33.8","29.6","28.2","5.6","2.8",".",".",".",".",".",".",".",".",".",".","."
"","220
001","58","2.862","12.1","24.1","29.3","17.2","6.9","8.6","1.7",".",".",".",".",".",".",".",".","."
"","002
220","70","2.543","12.9","15.7","24.3","18.6","10.0","8.6","10.0",".",".",".",".",".",".",".",".","."
"Electrodynamics I","Course Total","128","2.688","12.5","19.5","26.6","18.0","8.6","8.6","6.3",".",".",".",".",".",".",".",".","."
"","230
001","57","3.149","22.8","29.8","24.6","7.0","14.0",".","1.8",".",".",".",".",".",".",".",".","."
"","230
002","73","2.938","20.5","11.0","27.4","26.0","12.3","1.4","1.4",".",".",".",".",".",".",".",".","."
"Circuit Analysis","Course Total","130","3.031","21.5","19.2","26.2","17.7","13.1","0.8","1.5",".",".",".",".",".",".",".",".","."
"","270
001","17","2.941","23.5","23.5","11.8","23.5","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","002
270","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","270
003","12","3.125","16.7","33.3","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"","004
270","16","3.594","56.3","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
270","16","3.469","31.3","43.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","270
006","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
007","15","3.167","20.0","40.0","26.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","102","3.377","40.2","29.4","15.7","6.9","4.9",".","2.9",".",".",".",".",".",".",".",".","."
"","271
001","13","3.115","23.1",".","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","10","2.950","10.0","20.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","271
004","13","3.308","23.1","23.1","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","15","3.500","40.0","26.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","63","3.317","30.2","19.0","38.1","9.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","8","3.188",".","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","16","3.313","6.3","50.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Lab","312
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
313","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","30","3.650","43.3","43.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
315","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","315
004","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","32","3.484","31.3","37.5","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 118 of 383",""
