"L&S","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4587","3.316","28.2","25.3","25.7","7.7","4.0","0.5","0.8","1.5","0.0","5.1","0.2","0.5","0.1","0.3",".","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1064","3.235","22.8","29.2","29.6","9.0","5.2","0.7","1.1",".",".","1.6","0.2",".","0.1","0.5",".","."
"Sophomore","","1146","3.247","21.6","29.4","30.8","10.6","3.6","0.4","0.8",".",".","2.5","0.2",".",".","0.1",".","0.1"
"Junior","","868","3.311","28.5","27.8","27.8","8.3","3.3","0.2","1.2",".",".","2.3","0.1",".","0.1","0.5",".","."
"Senior","","951","3.330","34.2","23.1","26.0","6.4","6.0","1.1","0.6","0.7","0.1","1.4",".",".","0.1","0.2",".","0.1"
"Undergraduates","","4029","3.277","26.4","27.5","28.7","8.7","4.5","0.6","0.9","0.2","0.0","2.0","0.1",".","0.1","0.3",".","0.0"
"Special","","133","3.738","26.3","5.3","4.5","0.8","0.8",".",".","4.5",".","55.6","1.5",".",".","0.8",".","."
"Graduate","","423","3.828","46.1","10.9","4.3",".","0.5",".",".","13.5",".","18.4",".","5.4","0.5","0.2",".","."
"Prof Yr 1","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","Dept. Total","4587","3.316","28.2","25.3","25.7","7.7","4.0","0.5","0.8","1.5","0.0","5.1","0.2","0.5","0.1","0.3",".","0.0"
