"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
030","16","3.156","18.8","18.8","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","420","3.415","34.5","23.1","33.8","7.4","1.0",".",".",".",".",".",".",".",".","0.2",".","."
"","345
001","183","2.728","22.4","4.9","27.9","4.4","32.2","5.5","2.2",".",".",".",".",".",".",".","0.5","."
"","002
345","219","2.847","31.1","3.7","29.2","2.3","25.6","3.2","5.0",".",".",".",".",".",".",".",".","."
"","003
345","229","2.757","18.3","7.0","34.5","7.4","24.0","6.6","1.7",".",".",".",".",".",".",".",".","0.4"
"","345
004","29","3.500","41.4","20.7","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","660","2.812","24.7","5.9","30.9","4.7","25.8","4.8","2.9",".",".",".",".",".",".",".","0.2","0.2"
"","346
001","8","3.615","50.0","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","002
346","14","3.540","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intmed Organic Chem Lab","Course Total","22","3.566","59.1","22.7","4.5","4.5",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","39","3.577","43.6","33.3","17.9","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Analytical Chem","001
524","30","3.005","23.3","20.0","30.0","10.0","6.7","10.0",".",".",".",".",".",".",".",".",".","."
"Advanced Organic Chemistry","547
001","14","3.269","28.6","21.4","28.6",".","14.3",".",".",".",".",".",".",".",".","7.1",".","."
"Physical Chemistry","561
001","62","2.774","22.6","14.5","22.6","8.1","19.4","9.7","3.2",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","24","3.021","33.3","8.3","29.2","4.2","20.8",".","4.2",".",".",".",".",".",".",".",".","."
"","563
001","16","3.406","37.5","12.5","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","563
002","19","3.763","68.4","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
563","17","3.412","41.2","17.6","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","004
563","18","3.472","33.3","38.9","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","563
005","16","3.469","37.5","25.0","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","006
563","17","3.441","35.3","17.6","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","563
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","563
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","105","3.491","41.9","21.9","31.4","2.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","564
001","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","564
002","9","3.063",".","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".","11.1",".","."
"","564
003","10","3.550","70.0",".","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","30","3.431","40.0","20.0","23.3","10.0","3.3",".",".",".",".",".",".",".",".","3.3",".","."
"Biophysical Chemistry","565
001","50","2.720","18.0","12.0","14.0","28.0","22.0","2.0","4.0",".",".",".",".",".",".",".",".","."
"Phys Meth-Struct Determintn","606
001","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Laboratory Safety","607
001","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Chemical Crystallography","613
001","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Separations-Chem Analysis","625
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Chem Instrumentation","626
001","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Instrumtn:Dsgn&Control","628
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry","630
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elctrn Pushg Mechs-Org Chem","647
001","34","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 174 of 383",""
