"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"CHICLA","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","47","3.532","36.2","38.3","21.3","4.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","54","3.526","42.6","31.5","13.0","3.7",".",".","1.9","3.7","",".",".","",".","",".","1.9","1.9",".","."
"Senior","","52","3.416","42.3","21.2","23.1","7.7","1.9","1.9",".","1.9","",".",".","",".","",".",".",".",".","."
"Undergraduates","","158","3.473","39.2","29.1","21.5","5.1","0.6","0.6","0.6","1.9","",".",".","",".","",".","0.6","0.6",".","."
"Special","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","100.0","."
"","Dept. Total","160","3.473","38.8","28.8","21.3","5.0","0.6","0.6","0.6","2.5","",".",".","",".","",".","0.6","0.6","0.6","."
