"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"","201
001","355","2.996","20.8","16.9","32.1","14.4","10.4","3.9","1.4",".",".",".",".",".",".",".",".","."
"","201
002","102","2.975","5.9","27.5","34.3","24.5","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","Course Total","457","2.991","17.5","19.3","32.6","16.6","9.4","3.5","1.1",".",".",".",".",".",".",".",".","."
"Reporting","204
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
001","15","3.433","20.0","46.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
002","10","2.650",".","10.0","50.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","205
003","15","3.300","26.7","20.0","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","205
004","13","2.769",".","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".","."
"","005
205","11","3.091","18.2","9.1","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","Course Total","64","3.086","14.1","21.9","40.6","17.2","4.7","1.6",".",".",".",".",".",".",".",".",".","."
"","002
230","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","230
003","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","Course Total","19","3.368","15.8","52.6","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Advertising","246
001","247","2.949","19.4","11.3","36.4","15.8","11.3","3.6","1.2","0.8",".",".",".",".",".",".",".","."
"Effects-Mass Communication","265
001","388","3.214","13.9","37.1","35.1","10.3","2.3","0.3","1.0",".",".",".",".",".",".",".",".","."
"","301
001","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
301","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","Course Total","21","3.452","23.8","42.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","001
304","15","3.300","13.3","40.0","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","305
001","14","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication Graphics","311
001","15","3.333","33.3","13.3","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","001
325","75","3.407","25.3","40.0","29.3","4.0",".","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Broadcast News","351
001","15","3.500","13.3","73.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Television News","352
001","13","3.500","38.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","446
001","92","2.989","8.7","28.3","28.3","23.9","9.8","1.1",".",".",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450
001","58","3.351","20.7","34.5","36.2","6.9",".",".",".","1.7",".",".",".",".",".",".",".","."
"Adv Advertising Copy&Layout","451
001","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454
001","21","3.524","38.1","33.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459
002","27","3.444","48.1","14.8","18.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525
001","40","3.350","25.0","32.5","32.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544
001","24","3.313","20.8","25.0","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Advertising Topics","546
001","10","3.400","30.0","40.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559
002","103","2.879","12.6","22.3","27.2","19.4","12.6","3.9","1.9",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560
001","48","2.948","20.8","6.3","33.3","25.0","12.5","2.1",".",".",".",".",".",".",".",".",".","."
"","561
001","24","3.435","20.8","50.0","16.7","8.3",".",".",".",".",".",".",".",".","4.2",".",".","."
"","002
561","16","3.750","56.3","18.8","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Mass Communication&Society","Course Total","40","3.554","35.0","37.5","15.0","5.0",".",".",".","5.0",".",".",".",".","2.5",".",".","."
"","575
001","15","3.903","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
043","15","3.614","40.0","33.3","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","30","3.733","60.0","26.7","10.0",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614
001","47","3.163","10.6","31.9","34.0","21.3",".",".",".",".",".",".",".",".","2.1",".",".","."
"Advertising Theory&Research","615
001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 238 of 383",""
