"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ways of Knowing Biology","151
001","","53","",".",".","",".",".","",".",".","",".","",".","",".","","98.1","1.9",".","",".","",".",".","."
"European Studies Seminar","594
001","","9","3.833","66.7","33.3","",".",".","",".",".","",".","",".","",".","",".",".",".","",".","",".",".","."
"INTER-LS
502","Dept. Total","","62","3.833","9.7","4.8","",".",".","",".","",".","",".","",".","",".","83.9","1.6","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","25","",".",".","",".",".","",".","",".","",".","",".","",".","100.0",".","",".","",".",".",".","."
"Sophomore","","","26","",".",".","",".",".","",".","",".","",".","",".","",".","96.2","3.8","",".","",".",".",".","."
"Junior","","","3","4.000","33.3",".","",".",".","",".","",".","",".","",".","",".","66.7",".","",".","",".",".",".","."
"Senior","","","8","3.813","62.5","37.5","",".",".","",".","",".","",".","",".","",".",".",".","",".","",".",".",".","."
"Undergraduates","","","62","3.833","9.7","4.8","",".",".","",".","",".","",".","",".","",".","83.9","1.6","",".","",".",".",".","."
"","Dept. Total","","62","3.833","9.7","4.8","",".",".","",".","",".","",".","",".","",".","83.9","1.6","",".","",".",".",".","."
