"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"265
Intro-Medical Physics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Intermed Physics-Med&Biol","001","","6","3.167",".","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"410
Radiobiology","001","","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"475
Diagnos Ultrasound Physics","001","","6","3.500","33.3",".","33.3",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"566
Physics of Radiotherapy","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"568
Magnetc Resonance Imag(MRI)","001","","9","3.643","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","22.2","."
"662
Rad Lab-Diagnstc Rad Phys","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"663
Rad Lab-Nuc Med Physics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"665
Rad Lab:CT,NMR,&DSA Physics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"666
Rad Lab-Med Ultrasound Phys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"707
Digital Imaging:DSA,CT,MRI","001","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club and Seminar","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Rad Facts-Pri Care Phys-MSC","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","3.977","88.9",".","3.7",".",".",".",".","3.7",".",".",".","3.7",".",".",".","."
