"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Engr Problem Solving","275","001","","17","3.235","23.5","29.4","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","82","3.363","34.1","24.4","24.4","9.8","3.7","1.2",".","2.4",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","53","3.221","18.9","34.0","28.3","9.4","5.7","1.9",".",".",".",".",".",".",".","1.9",".","."
"Simulatn&Probablstc Modelng","320","001","","37","3.297","18.9","43.2","21.6","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","14","3.357","14.3","64.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","11","3.182","18.2","36.4","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","12","3.333","25.0","25.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","37","3.297","18.9","43.2","21.6","10.8","5.4",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","75","3.373","20.0","41.3","33.3","4.0","1.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","41","3.402","26.8","34.1","31.7","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476","001","","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476","002","","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","","Course Total","","31","3.806","71.0","22.6","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","8","3.125","37.5","25.0","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","47","3.489","40.4","25.5","25.5","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Facilities Location Models","578","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems Modeling","611","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","9","3.438","11.1","55.6","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Math Programming","635","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","36","3.833","80.6","11.1","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced CAD/CAM","655","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","9","3.786","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Human Factors","692","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Quantitative Methods","693","001","","29","3.638","55.2","17.2","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
