"","990
024","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
026","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
030","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","13","4.000","84.6",".",".",".",".",".",".","",".","",".",".","",".","15.4","",".",".",".","."
"L SC COM
120","Dept. Total","419","3.521","43.4","31.3","17.7","3.3","2.9","0.2","0.7","",".","",".",".","",".","0.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.462","30.8","38.5","23.1","7.7",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","80","3.532","42.5","35.0","15.0","3.8","3.8",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","110","3.483","37.3","40.0","12.7","3.6","5.5","0.9",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","140","3.485","44.3","26.4","23.6","2.1","2.1",".","1.4","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","382","3.491","40.1","33.8","18.6","3.7","3.1","0.3","0.5","",".","",".",".","",".",".","",".",".",".","."
"Special","","10","3.523","50.0","10.0","30.0",".",".",".","10.0","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","27","3.979","88.9","3.7",".",".",".",".",".","",".","",".",".","",".","7.4","",".",".",".","."
"","Dept. Total","419","3.521","43.4","31.3","17.7","3.3","2.9","0.2","0.7","",".","",".",".","",".","0.5","",".",".",".","."
