"GEOGRAPHY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Intro to Cultural Geog","101","001","","88","2.892","12.5","10.2","40.9","15.9","20.5",".",".",".",".",".",".",".",".",".",".","."
"","120","001","","160","2.853","8.1","18.1","41.3","12.5","16.9","0.6","2.5",".",".",".",".",".",".",".",".","."
"","120","002","","106","2.840","10.4","11.3","37.7","18.9","20.8","0.9",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","","266","2.848","9.0","15.4","39.8","15.0","18.4","0.8","1.5",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","","49","2.827","18.4","18.4","20.4","20.4","14.3","4.1","4.1",".",".",".",".",".",".",".",".","."
"","127","001","","75","2.967","32.0","5.3","22.7","14.7","20.0","5.3",".",".",".",".",".",".",".",".",".","."
"","127","002","","186","2.830","17.7","10.8","26.9","18.8","21.0","3.2","1.1",".",".",".",".",".",".","0.5",".","."
"Physical Systems of Envr","","Course Total","","261","2.869","21.8","9.2","25.7","17.6","20.7","3.8","0.8",".",".",".",".",".",".","0.4",".","."
"World Regions:Concept&Probs","140","001","","18","2.912","16.7","27.8","22.2","11.1","5.6","5.6","5.6",".","5.6",".",".",".",".",".",".","."
"Bascom Course","236","001","","9","3.333","55.6","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","","7","2.857",".","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","7","2.929",".","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","11","2.636","27.3","27.3",".","9.1","9.1","18.2","9.1",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","","63","2.967","14.3","20.6","33.3","7.9","19.0",".","1.6","3.2",".",".",".",".",".",".",".","."
"Geog,Politics&Territorialty","318","001","","39","3.316","25.6","33.3","20.5","12.8","5.1",".",".","2.6",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","","34","3.219","29.4","17.6","29.4","5.9","8.8","2.9",".","5.9",".",".",".",".",".",".",".","."
"","339","001","","60","2.892","11.7","16.7","28.3","25.0","18.3",".",".",".",".",".",".",".",".",".",".","."
"","339","002","","81","2.720","9.9","17.3","23.5","21.0","22.2","4.9","1.2",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","","141","2.793","10.6","17.0","25.5","22.7","20.6","2.8","0.7",".",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","","37","2.851","24.3","5.4","37.8","8.1","16.2","2.7","5.4",".",".",".",".",".",".",".",".","."
"Colloq-Undergraduate Majors","365","001","","27","3.308","29.6","25.9","33.3","3.7",".",".","3.7",".",".",".",".",".",".","3.7",".","."
"Introduction to Cartography","370","001","","49","3.288","30.6","10.2","46.9","12.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","24","3.182","20.8","12.5","45.8","4.2","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Amer Environmental History","460","001","","27","3.083","7.4","18.5","48.1","11.1","3.7",".",".","11.1",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and Environment","537","001","","21","3.238","33.3","19.0","23.8","19.0",".","4.8",".",".",".",".",".",".",".",".",".","."
"Social Geog-Asian Cities","558","001","","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","572","001","","16","3.625","62.5","25.0","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","","17","3.400","35.3","17.6","17.6","17.6",".",".",".","11.8",".",".",".",".",".",".",".","."
"","602","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Special Topics in Geography","677","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 211 of 383",""
