"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"ALS","College Total","8704","3.206","34.5","16.0","20.7","9.4","8.6","2.2","0.9","5.0","0.0","0.8","0.0","1.4","0.2","0.1","0.1","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"ALS","","Grades","GPA","","","","","","","","","","","","","","","",""
"","","3","3.500","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Freshmen","","562","2.810","16.2","14.8","23.0","18.9","18.1","4.4","1.8",".",".","2.3","0.2",".",".","0.4",".","."
"Sophomore","","1108","2.973","22.7","18.5","26.1","13.4","12.4","4.5","0.8","0.1",".","1.4",".",".",".","0.1",".","."
"Junior","","1625","3.046","25.8","18.1","25.4","14.4","11.6","3.0","0.6","0.1",".","0.9",".",".","0.1","0.1","0.1","."
"Senior","","3017","3.151","32.8","17.8","24.1","9.7","9.8","2.3","1.4","0.5",".","1.0",".","0.1","0.4","0.1","0.1","."
"Undergraduates","","6312","3.060","27.7","17.7","24.7","12.4","11.5","3.0","1.1","0.3",".","1.1","0.0","0.0","0.2","0.1","0.0","."
"Special","","158","3.304","36.1","13.3","19.6","8.9","7.6",".","1.3","8.2",".",".",".",".","1.9","1.9","1.3","."
"Graduate","","2219","3.769","53.3","11.3","9.2","0.8","0.5","0.0","0.2","18.4","0.2",".",".","5.6","0.2","0.0","0.2","0.0"
"Prof Yr 1","","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 2","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","12","3.480","50.0",".","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"Prof Yr 4","","5","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Professionals","","21","3.571","47.6","9.5","14.3","9.5","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"","College Total","8713","3.206","34.4","16.0","20.6","9.4","8.6","2.2","0.9","5.1","0.0","0.8","0.0","1.4","0.2","0.1","0.1","0.0"
