"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"550
Advanced Scene Study","001","","21","3.484","42.9","23.8","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"551
Adv Asian Stage Discpl&Prod","001","","14","3.888","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","30","3.956","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"595
Topic-Theatre: Study Abroad","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Specl Topics-Theatre&Drama","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.714","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Costume Design II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Advanced Theatre Technology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Smr-Probs in Theatre&Drama","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","7","4.000","28.6",".",".",".",".",".",".","57.1",".",".",".","14.3",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","7","3.891","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","30","3.935","63.3","10.0",".",".",".",".",".","16.7",".",".",".","10.0",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
