"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","105
009","14","3.321","28.6","21.4","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
010","17","3.176","29.4","29.4","11.8","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"","105
011","15","3.200","26.7","20.0","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","105
012","13","2.769",".","23.1","53.8","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","105
013","13","3.346","30.8","23.1","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","13","2.538","15.4","15.4","15.4","15.4","23.1","7.7","7.7",".",".",".",".",".",".",".",".","."
"","015
105","15","3.333","13.3","46.7","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","105
016","14","3.143","21.4","28.6","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"","105
017","7","2.929",".","14.3","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","105
018","15","3.167","20.0","20.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105
019","10","2.850",".","50.0","20.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","105
020","14","2.964","28.6","14.3","21.4","7.1","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"","021
105","12","3.125","8.3","25.0","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","275","3.179","20.7","32.0","28.7","8.0","7.3","1.1","1.8","0.4",".",".",".",".",".",".",".","."
"","199
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
029","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Bascom Course","236
001","12","3.136","16.7","16.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".","."
"Radio,TV&Film as Mass Media","250
001","231","2.869","9.5","20.3","35.5","17.7","10.4","3.5","2.2","0.4",".",".",".",".",".","0.4",".","."
"Communication & Human Behav","260
001","144","2.969","17.4","20.1","32.6","12.5","11.1","5.6","0.7",".",".",".",".",".",".",".",".","."
"","262
001","16","3.500","62.5",".","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","262
002","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","19","3.763","73.7","5.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
262","19","3.789","78.9",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
005","15","3.267","20.0","26.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","262
006","20","3.100","5.0","35.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","Course Total","107","3.551","53.3","14.0","24.3","6.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"Speech Composition","263
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","343","3.664","57.1","31.2","7.9","1.5",".","0.3","1.7","0.3",".",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Introduction to Film","350
001","163","2.825","8.0","23.3","30.1","19.0","14.1","3.1","2.5",".",".",".",".",".",".",".",".","."
"Introduction to Television","351
001","165","3.074","6.7","27.9","45.5","10.9","7.9",".",".","0.6",".",".",".",".",".","0.6",".","."
"Film Styles and Genres","354
001","93","2.841","10.8","16.1","32.3","25.8","7.5","2.2","3.2","2.2",".",".",".",".",".",".",".","."
"Intro to Video Production","001
355","147","3.201","12.9","36.1","34.7","10.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361
001","69","2.928","14.5","21.7","30.4","13.0","17.4",".","2.9",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368
001","98","3.160","26.5","23.5","20.4","15.3","7.1","1.0","2.0","4.1",".",".",".",".",".",".",".","."
"Communictn&Conflict Resltn","371
001","59","3.172","27.1","23.7","23.7","13.6","6.8","1.7","1.7",".",".",".",".",".",".","1.7",".","."
"Television Criticism","451
001","56","3.071","16.1","21.4","37.5","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Telecommunications Policy","452
001","34","3.191","17.6","38.2","20.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454
001","17","3.324","41.2","29.4","5.9","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457
001","125","3.332","27.2","36.8","23.2","4.0","7.2","1.6",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 181 of 383",""
