"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","245","3.076","6.1","24.9","53.1","13.1","1.2","0.4","0.8","0.4",".",".",".",".",".",".",".","."
"","300
002","240","3.128","7.1","28.3","49.2","13.8","0.8","0.4",".",".",".",".",".",".","0.4",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","488","3.102","6.6","26.6","51.0","13.3","1.0","0.4","0.4","0.2",".",".",".",".","0.4",".",".","."
"","305
001","57","3.246","36.8","8.8","36.8","8.8","5.3","3.5",".",".",".",".",".",".",".",".",".","."
"","305
002","61","3.175","31.1","8.2","37.7","9.8","9.8","1.6",".",".",".",".",".",".",".",".","1.6","."
"Consumer Behavior","Course Total","118","3.209","33.9","8.5","37.3","9.3","7.6","2.5",".",".",".",".",".",".",".",".","0.8","."
"","310
001","58","3.112","19.0","8.6","51.7","17.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"","310
002","54","3.074","13.0","14.8","53.7","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","112","3.094","16.1","11.6","52.7","14.3","5.4",".",".",".",".",".",".",".",".",".",".","."
"","399
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","6","3.250","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".","."
"Marketing Communications","415
001","45","3.489","35.6","40.0","15.6","4.4","4.4",".",".",".",".",".",".",".",".",".",".","."
"","420
001","27","3.115","7.4","44.4","18.5","14.8","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"","420
002","39","3.295","20.5","43.6","20.5","5.1","10.3",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","Course Total","66","3.223","15.2","43.9","19.7","9.1","10.6",".",".","1.5",".",".",".",".",".",".",".","."
"Marketing Channels","425
001","31","3.333","29.0","25.8","29.0","6.5","6.5",".",".","3.2",".",".",".",".",".",".",".","."
"Promotional Campaigns","454
001","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","41","3.390","14.6","48.8","36.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","34","3.206","14.7","17.6","61.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","003
460","45","3.477","33.3","44.4","15.6",".","2.2",".","2.2","2.2",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","120","3.370","21.7","38.3","35.8","1.7","0.8",".","0.8","0.8",".",".",".",".",".",".",".","."
"Sales Management","001
635","39","3.590","46.2","30.8","20.5",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","700
001","25","3.140","12.0","36.0","28.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","002
700","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","41","3.244","19.5","31.7","31.7","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","30","3.417","26.7","33.3","36.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","33","3.406","27.3","24.2","45.5",".",".",".",".",".",".",".",".",".",".",".",".","3.0"
"Marketing Communications","715
001","15","3.567","46.7","20.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","720
001","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","39","3.423","33.3","30.8","25.6","7.7","2.6",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","760
001","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","16","3.500","25.0","43.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","765
002","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","24","3.565","33.3","41.7","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","799
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
040","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","799
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
