"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","203","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.510","36.8","42.1","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"725
Chi Bdhst Texts-Japnse Comm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Stdys-Japanese Linguistics","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading for Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"852
Smr-Chinese Intellectl Hist","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Smr-Chinese Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"953
Smr-Japanese Literature","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","11","4.000","54.5",".",".",".",".",".",".","36.4",".",".",".","9.1",".",".",".","."
