"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Engineerng Economc Analysis","313
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","329
001","","16","2.875","6.3","18.8","43.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","002
329","","14","3.286","14.3","42.9","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","","30","3.067","10.0","30.0","40.0","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"","340
001","","26","3.212","19.2","11.5","65.4",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","340
002","","44","3.034","6.8","15.9","61.4","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","","70","3.100","11.4","14.3","62.9","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
057","","6","3.735","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","","14","3.789","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","","44","2.943","9.1","13.6","40.9","29.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"","406
002","","42","3.143","21.4","16.7","45.2","11.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Advanced Accounting","Course Total","","86","3.041","15.1","15.1","43.0","20.9","4.7",".","1.2",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","36","3.956","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","36","3.722","52.8","38.9","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","11","3.500","27.3","27.3","27.3",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","603
002","","16","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis-Financial Reports","Course Total","","27","3.340","18.5","25.9","48.1",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","620
001","","41","3.122","19.5","22.0","34.1","12.2","12.2",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","24","3.250","41.7","12.5","20.8","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting I","Course Total","","65","3.169","27.7","18.5","29.2","12.3","10.8","1.5",".",".",".",".",".",".",".",".",".","."
"Income Tax Accounting II","621
001","","16","3.219","37.5","12.5","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","29","3.259","34.5","20.7","27.6","10.3","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","002
630","","43","3.116","20.9","7.0","51.2","16.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Auditing","Course Total","","72","3.174","26.4","12.5","41.7","13.9","4.2",".","1.4",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","40","3.413","30.0","22.5","47.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
001","","14","3.393","28.6","21.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
001","","6","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","702
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","10","3.400","40.0",".","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","33","3.591","54.5","15.2","27.3",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","38","3.595","55.3","15.8","18.4","5.3","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Managerial Accounting","Course Total","","71","3.593","54.9","15.5","22.5","2.8","2.8",".",".","1.4",".",".",".",".",".",".",".","."
"Federal Estate&Gift Taxatn","723
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Income Taxatn&Bus Decisions","729
001","","16","3.469","18.8","56.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mgmnt Cntrl & Cost Acct","771
001","","25","3.708","56.0","24.0","16.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","799
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
