"","990
046","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
047","3","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
049","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","21","3.925","47.6",".","4.8",".",".","",".","",".","47.6","",".",".","",".","",".","",".",".",".","."
"PATH
704","Dept. Total","524","3.302","16.8","32.4","43.5","2.7","2.1","",".","",".","2.5","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","3.136","4.5","22.7","68.2","4.5",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","82","3.286",".","63.4","31.7","4.9",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","97","3.246","3.1","47.4","43.3","5.2","1.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","201","3.250","2.0","51.2","41.3","5.0","0.5","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","82","3.520","32.9","29.3","18.3","2.4","1.2","",".","",".","15.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","239","3.277","24.3","17.2","54.0","0.8","3.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","3","3.833","66.7","33.3",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","243","3.281","24.7","17.7","53.1","0.8","3.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","527","3.302","17.3","32.3","43.3","2.7","2.1","",".","",".","2.5","",".",".","",".","",".","",".",".",".","."
