"JEWISH STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Prophets of the Bible","231
001","20","2.445","10.0","20.0","20.0","10.0","15.0","20.0","5.0",".",".","",".",".","",".","",".","",".",".","."
"Intro-Biblical Archaeology","241
001","21","2.947",".","28.6","33.3","19.0","9.5",".",".","4.8",".","",".",".","",".","",".","","4.8",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","44","3.233","11.4","27.3","54.5","4.5",".",".",".","2.3",".","",".",".","",".","",".","",".",".","."
"Women in 20th C. Jewish Lit","355
001","28","3.179","17.9","32.1","28.6","17.9",".","3.6",".",".",".","",".",".","",".","",".","",".",".","."
"Antisemitism: Hist,Lit&Arts","420
001","33","3.094","21.2","15.2","33.3","21.2","3.0","3.0",".","3.0",".","",".",".","",".","",".","",".",".","."
"Jewish Philos:Antiquity-17c","435
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Jewish Cultural History","471
001","56","3.125","10.7","33.9","32.1","12.5","3.6",".","1.8","3.6",".","",".",".","",".","",".","","1.8",".","."
"Topics in Jewish Studies","490
001","10","3.444","30.0","20.0","40.0",".",".",".",".","10.0",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
005","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"JEWISH
510","Dept. Total","215","3.078","13.0","27.4","35.8","12.6","3.7","2.8","0.9","2.8","",".",".","",".","",".","",".","0.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","21","3.094","9.5","28.6","38.1","9.5","9.5",".",".",".","",".",".","",".","",".","",".","4.8",".","."
"Sophomore","","59","2.916","3.4","28.8","44.1","11.9","1.7","6.8","1.7","1.7","",".",".","",".","",".","",".",".",".","."
"Junior","","62","3.056","16.1","22.6","35.5","14.5","1.6","3.2","1.6","3.2","",".",".","",".","",".","",".","1.6",".","."
"Senior","","71","3.226","19.7","28.2","29.6","12.7","5.6",".",".","4.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","213","3.074","13.1","26.8","36.2","12.7","3.8","2.8","0.9","2.8","",".",".","",".","",".","",".","0.9",".","."
"Graduate","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","215","3.078","13.0","27.4","35.8","12.6","3.7","2.8","0.9","2.8","",".",".","",".","",".","",".","0.9",".","."
