"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"","275","001","","47","2.830","4.3","17.0","29.8","38.3","10.6",".",".",".",".",".",".",".",".",".",".","."
"","275","002","","44","2.953","2.3","25.0","36.4","29.5","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","91","2.889","3.3","20.9","33.0","34.1","7.7",".",".","1.1",".",".",".",".",".",".",".","."
"Independent Study","299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","","43","3.174","14.0","32.6","39.5","7.0","4.7","2.3",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","13","3.154","15.4","15.4","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","","29","3.224","10.3","44.8","27.6","13.8","3.4",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","44","3.841","75.0","18.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","22","3.523","36.4","50.0","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","002","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","","37","3.932","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsr Spend&Saving/Lifecycle","527","001","","34","3.162","14.7","23.5","44.1","14.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","","17","3.219","29.4","29.4","17.6",".","11.8","5.9",".","5.9",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","","13","3.824","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","","10","3.400","50.0","20.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","","43","2.779","7.0","20.9","23.3","27.9","16.3","4.7",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","","19","3.632","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","10","3.955","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","14","3.909","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","","9","3.786","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".","16.7",".",".",".","."
"","999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
