"EGR","","","","","","","","","","","","","","","","","","",""
"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","370
005","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","61","3.762","60.7","32.8","4.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","38","3.303","18.4","42.1","28.9","2.6","7.9",".",".",".",".",".",".",".",".",".",".","."
"","376
002","54","3.333","24.1","31.5","38.9","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","376
003","51","3.294","13.7","43.1","37.3","3.9",".","2.0",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","143","3.311","18.9","38.5","35.7","2.8","2.8","1.4",".",".",".",".",".",".",".",".",".","."
"","377
001","39","2.833","23.1","20.5","12.8","17.9","12.8","10.3","2.6",".",".",".",".",".",".",".",".","."
"","002
377","41","2.707","12.2","19.5","22.0","14.6","22.0","7.3","2.4",".",".",".",".",".",".",".",".","."
"","377
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","Course Total","82","2.784","18.3","19.5","17.1","15.9","17.1","8.5","2.4","1.2",".",".",".",".",".",".",".","."
"Topics-Elect&Computer Engr","379
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","412
001","26","3.269","30.8","23.1","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","412
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","29","3.296","31.0","20.7","20.7","13.8","6.9",".",".","3.4",".",".",".",".","3.4",".",".","."
"Sys Modelng, Ident&Simulatn","415
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"State Space System Analysis","416
001","9","3.444","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electromag Wave Transmissn","420
001","21","3.167","23.8","9.5","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".","."
"Random Signal Analysis","430
001","18","2.861","27.8","11.1","16.7","5.6","33.3","5.6",".",".",".",".",".",".",".",".",".","."
"Photonics","001
434","14","3.346","42.9","14.3","7.1","21.4","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E&M Fields and Waves","440
001","11","3.136","27.3","18.2","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Digital Microprocessors","453
001","18","3.472","66.7","11.1","5.6","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Computer Graphics","458
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Math&Comp Model-Physiol Sys","461
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electronics of Solids","466
001","6","3.200","16.7","16.7","33.3","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468
001","19","3.342","42.1","26.3","15.8",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","491
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elec Mach&Drive Systm Lab","504
001","6","3.400","50.0",".","16.7",".","16.7",".",".",".",".",".",".",".","16.7",".",".","."
"","511
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","Course Total","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Processng & Technlgy","528
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Communications","530
001","11","3.500","27.3","45.5","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communication Networks","537
001","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Lasers","546
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"IC Fabrication Lab","549
001","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552
001","19","3.105","31.6","21.1","10.5","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 120 of 383",""
