"PHM","","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"401
History of Pharmacy","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacists/Health Care Sys","001","","110","3.139","12.7","29.1","35.5","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"511
Pharm Ethics,Regulation&Law","001","","90","3.044","4.4","31.1","38.9","20.0","5.6",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"622","002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","Course Total","","15","3.897","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Problems in Drug Marketing","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Conference-Research Workers","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","270","3.255","27.4","24.4","28.1","14.1","3.7",".",".","2.2",".",".",".",".",".",".",".","."
