"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","22","3.773","68.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","24","3.913","79.2","16.7",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","116","003","","21","3.700","47.6","38.1","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","67","3.800","65.7","25.4","4.5","1.5",".",".",".","3.0",".",".",".",".",".",".",".","."
"Intro-Athletic Injuries","217","001","","23","3.391","26.1","39.1","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","27","3.759","85.2","7.4",".","3.7",".",".","3.7",".",".",".",".",".",".",".",".","."
"Practicum in Phys Education","","Course Total","","28","3.756","82.1","10.7",".","3.6",".",".","3.6",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","42","3.381","33.3","31.0","26.2","2.4","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","41","3.366","24.4","36.6","29.3","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","33","3.182","18.2","27.3","30.3","21.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321","001","","65","3.538","30.8","50.8","13.8","4.6",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","52","3.894","80.8","17.3","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350","001","","63","3.183","20.6","41.3","17.5","4.8","12.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"Rehab of Athletic Injuries","358","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","360","001","","26","3.400","19.2","42.3","30.8","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"Motor Learning&Performance","361","001","","40","3.213","27.5","20.0","25.0","22.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Athletic Training","397","001","","29","3.759","55.2","41.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","8","3.361","62.5","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","61","3.533","29.5","47.5","23.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Tech-Exercise Physiol","615","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Metab Respns-Exercis&Stress","774","001","","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Biodynamics Seminar","953","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Seminar-Motor Behavior","963","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Measure of Motor Behavr","970","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
