"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"470
The First Amendment","001","","222","3.139","11.7","27.5","42.3","9.0","6.3","0.5",".","2.3",".",".",".",".","0.5",".",".","."
"471
Civil Liberties in the U S","001","","96","3.234","15.6","29.2","43.8","9.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"501
Ancient&Medvl West Thought","001","","39","3.211","25.6","23.1","30.8","12.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"505
Challenge of Democratizatn","001","","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Topics in Political Philos","001","","40","3.483","27.5","37.5","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"517
Feminist Political Theory","001","","39","3.462","43.6","33.3","12.8",".",".",".","5.1","2.6",".",".",".",".",".","2.6",".","."
"518
Conservatv Politicl Thought","001","","40","3.567","55.0","12.5","27.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"544
Intro to Survey Research","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"552
Quantitative Anal-Pol Data","001","","13","3.738","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Game Theory-Poli Sci; Intro","001","","16","3.018","18.8","25.0","6.3","18.8","18.8",".",".","6.3",".",".",".",".",".","6.3",".","."
"627
The British Political Sys","001","","31","3.283","25.8","22.6","35.5","6.5","6.5",".",".",".",".",".",".",".",".",".","3.2","."
"630
Latin-American Politics","001","","47","3.058","25.5","21.3","23.4","17.0","4.3","2.1","4.3","2.1",".",".",".",".",".",".",".","."
"633
Russian Politics","001","","34","3.093","17.6","26.5","38.2","8.8","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"651
Politics of South Asia","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Seniors Honors Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.862","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"684
Senior Honors Thesis Smr","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"695","011","","19","3.735","52.6","26.3","10.5",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"695","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695","013","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","15","3.633","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","050","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"695","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","69","3.739","52.2","39.1","5.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"698","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 276 of 383",""
