"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Art Foundry","414
001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","18","3.472","50.0","11.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
001","19","3.778","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","448
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","14","3.671","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","13","2.846","15.4","23.1","15.4","7.7","38.5",".",".",".",".",".",".",".",".",".",".","."
"","448
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","20","3.973","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
008","13","3.500","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","448
009","9","3.727","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","113","3.700","73.5","13.3","6.2","0.9","5.3",".","0.9",".",".",".",".",".",".",".",".","."
"Figure Painting","452
001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518
001","11","3.455","72.7","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"Advanced Painting I","522
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","001
528","18","3.694","72.2","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","532
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","Course Total","8","3.705","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","24","3.479","33.3","33.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Figure Painting I","552
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","13","3.657","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","576
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","576
002","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","Course Total","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing II","612
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture II","614
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 78 of 383"
