"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"698","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","14.3"
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","33","3.865","81.8","9.1","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".","."
"817
Empiricl Meth-Polit Inquiry","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Topics: Anal-Political Data","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"821
Mass Political Behavior","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"825
Race & Politics in the U.S.","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826
The Legislative Process","001","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"828
Contemp Presidency:Iss&Appr","001","","9","3.875","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"832
Concepts-Political Theory","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"855
Pol&Cultr-Compartv Perspctv","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"861
Challenges of Democratizatn","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Intro to Policy Analysis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"876
Federlsm&Intgov Policy-U S","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Topics in Political Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948
Smr:Topics in Comp Politics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"952
Smr-Compar Pol-Dev Nations","001","","15","3.643","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"960","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"960","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-International Relations","Course Total","","11","3.600","45.5","36.4",".",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","7","4.000","28.6",".",".",".",".",".",".","28.6",".",".",".","42.9",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
