"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","3796","3.242","27.2","24.9","25.7","9.6","4.8","0.8","1.3","4.1","0.0","0.1","",".","0.6","0.3","0.3","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","400","3.021","12.3","25.0","36.3","15.5","6.0","1.5","2.0","0.5",".",".","",".",".","0.5","0.5",".","."
"Sophomore","","766","3.185","20.6","26.9","32.5","12.5","4.3","0.9","1.2","0.5",".",".","",".",".","0.3","0.3",".","."
"Junior","","908","3.201","24.2","28.7","27.2","9.6","6.6","0.4","2.1","0.4",".","0.1","",".",".","0.2","0.2",".","."
"Senior","","1271","3.253","28.5","26.3","25.4","9.4","5.1","1.2","1.1","2.0",".","0.1","",".",".","0.4","0.4",".","0.1"
"Undergraduates","","3345","3.193","23.6","26.9","28.8","10.9","5.4","1.0","1.5","1.1",".","0.1","",".",".","0.3","0.3",".","0.0"
"Special","","53","3.611","24.5","9.4","9.4",".",".",".","1.9","45.3",".",".","",".",".","3.8",".","5.7","."
"Graduate","","397","3.910","58.4","10.1","1.3",".",".",".",".","23.9","0.3",".","",".","5.8",".",".","0.3","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","Dept. Total","3796","3.242","27.2","24.9","25.7","9.6","4.8","0.8","1.3","4.1","0.0","0.1","",".","0.6","0.3","0.3","0.1","0.0"
