"","990
031","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
042","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
044","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research","Course Total","31","4.000","25.8",".",".",".",".",".",".","74.2","",".",".","",".","",".",".",".",".","."
"FRENCH
400","Dept. Total","1102","3.420","38.7","29.4","16.5","5.3","3.4","0.5","1.4","4.6","",".",".","",".","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","201","3.264","27.4","38.3","17.4","8.0","5.0","0.5","3.5",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","315","3.476","43.8","29.5","15.6","6.0","3.2","0.6","0.6","0.6","",".",".","",".","",".",".",".",".","."
"Junior","","214","3.378","36.4","29.9","23.8","3.3","4.2","0.5","1.4","0.5","",".",".","",".","",".",".",".",".","."
"Senior","","238","3.435","38.2","28.6","18.5","5.9","3.4","0.8","0.4","4.2","",".",".","",".","",".",".",".",".","."
"Undergraduates","","968","3.397","37.4","31.2","18.5","5.8","3.8","0.6","1.3","1.3","",".",".","",".","",".",".",".",".","."
"Special","","25","3.522","44.0","28.0","4.0","4.0",".",".","4.0","12.0","",".",".","",".","",".",".",".","4.0","."
"Graduate","","108","3.761","48.1","13.9","1.9","0.9","0.9",".","0.9","32.4","",".",".","",".","",".","0.9",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1102","3.420","38.7","29.4","16.5","5.3","3.4","0.5","1.4","4.6","",".",".","",".","",".","0.1",".","0.1","."
