"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"455","004","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"455","005","","12","3.375","16.7","66.7",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Lab in Behavioral Neurosci","Course Total","","63","3.619","52.4","34.9","6.3","3.2","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"481
Honors Smr-Cognitive Psych","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"507
Psychology of Personality","001","","210","2.722","9.0","7.1","35.2","24.3","20.0","3.3","0.5","0.5",".",".",".",".",".",".",".","."
"509","001","","98","2.684","8.2","6.1","46.9","6.1","26.5","5.1","1.0",".",".",".",".",".",".",".",".","."
"509","002","","336","2.958","25.0","15.2","20.8","11.6","22.0","2.7","1.2","1.2",".",".",".",".",".","0.3",".","."
"Abnormal Psychology","Course Total","","434","2.895","21.2","13.1","26.7","10.4","23.0","3.2","1.2","0.9",".",".",".",".",".","0.2",".","."
"512
Bhv Pathology-Psychoses","001","","126","3.288","42.9","23.8","11.9","9.5","3.2","5.6","2.4","0.8",".",".",".",".",".",".",".","."
"517","001","","27","3.630","44.4","37.0","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"517","002","","25","3.800","72.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"517","003","","30","3.417","40.0","23.3","23.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","82","3.604","51.2","26.8","15.9","3.7","2.4",".",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","8","3.071","25.0","37.5","12.5",".",".",".","12.5","12.5",".",".",".",".",".",".",".","."
"537
Social Behavior Dynamics","001","","17","3.000","23.5","5.9","29.4","29.4","11.8",".",".",".",".",".",".",".",".",".",".","."
"556
Hormones and Behavior","001","","20","3.525","50.0","15.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"560
Child Psychology","001","","213","2.557","21.6","1.9","26.3","3.8","31.0","11.3","3.8",".","0.5",".",".",".",".",".",".","."
"587
Honors-Psych of Personality","001","","23","3.522","21.7","65.2","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"615
Quantitative Meth in Psych","001","","17","3.412","23.5","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"618","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"618","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","005","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","90","3.994","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"686
Honors Seminar in Psych","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 281 of 383",""
