"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"482
Junior Honors Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Symbolic Logic","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Philos of Natural Sciences","001","","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"522
Special Topic","001","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","16","3.375","6.3","62.5","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"543
Special Topics in Ethics","001","","10","3.222","10.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"549
Great Moral Philosophers","001","","22","3.286","27.3","18.2","31.8","18.2",".",".",".",".",".",".",".",".",".","4.5",".","."
"557
Issues in Social Philosophy","001","","10","3.700","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Ethical Probs-Biomed Tech","001","","33","3.341","30.3","21.2","24.2","6.1",".",".","3.0","15.2",".",".",".",".",".",".",".","."
"560
Metaphysics","001","","21","3.381","23.8","38.1","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"571
Mathematical Logic","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"581
Senior Honors Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Adv History of Philosophy","001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar-Logic","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"935
Smr-Philosophical Analysis","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Seminar-Ethics","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Aesthetics Seminar","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Soc-Pol Phil","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
