"L&S","","","","","","","","","","","","","","","","","","",""
"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Cellular Biology","303
001","150","3.250","33.3","17.3","34.0","3.3","9.3","2.0","0.7",".",".",".",".",".",".",".",".","."
"","304
001","23","3.326","26.1","26.1","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","002
304","23","3.543","52.2","8.7","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
304","24","3.438","33.3","29.2","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","304
004","22","3.318","31.8","18.2","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","304
005","23","3.435","39.1","21.7","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","25","3.420","44.0","28.0","20.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Cellular Biology Laboratory","Course Total","140","3.414","37.9","22.1","30.7","6.4","2.1",".","0.7",".",".",".",".",".",".",".",".","."
"Biological Interactions","333
001","80","3.456","46.3","1.3","51.3",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","370","3.348","37.8","15.7","36.5","3.8","4.9","0.8","0.5",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","83","3.089","19.3","21.7","43.4","4.8","7.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Junior","","210","3.379","39.0","18.1","32.4","4.8","5.2","0.5",".",".",".",".",".",".",".",".",".","."
"Senior","","77","3.518","54.5","2.6","40.3",".","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Undergraduates","","370","3.348","37.8","15.7","36.5","3.8","4.9","0.8","0.5",".",".",".",".",".",".",".",".","."
"","Dept. Total","370","3.348","37.8","15.7","36.5","3.8","4.9","0.8","0.5",".",".",".",".",".",".",".",".","."
