"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Medicine II","622
001","78","2.744","2.6","10.3","50.0","12.8","21.8","2.6",".",".",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","670
001","54","3.200","7.4",".",".",".",".",".","1.9","90.7",".",".",".",".",".",".",".","."
"","670
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","55","3.200","7.3",".",".",".",".",".","1.8","90.9",".",".",".",".",".",".",".","."
"","671
001","36","3.824","44.4",".",".",".",".","2.8",".","52.8",".",".",".",".",".",".",".","."
"","002
671","26","4.000","42.3",".",".",".",".",".",".","57.7",".",".",".",".",".",".",".","."
"","671
003","25","4.000","24.0",".",".",".",".",".",".","76.0",".",".",".",".",".",".",".","."
"","004
671","24","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"","671
005","29","4.000","41.4",".",".",".",".",".",".","58.6",".",".",".",".",".",".",".","."
"","671
201","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Small Animl Med","Course Total","143","3.951","42.0",".",".",".",".","0.7",".","57.3",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","18","4.000","61.1",".",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","56","4.000","23.2",".",".",".",".",".",".","76.8",".",".",".",".",".",".",".","."
"","675
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
006","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","007
675","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675
008","39","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","010
675","82","3.512","29.3","43.9","26.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
012","30","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","193","3.612","20.7","18.7","11.4",".",".",".",".","49.2",".",".",".",".",".",".",".","."
"Sr Rotation:Swine Medicine","676
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Exotic Animal Medicine","677
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
699","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","23","4.000","52.2",".",".",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"Production Medicine II","001
703","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","10","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","775
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 376 of 383",""
