"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"101
Human Language","001","","149","3.206","26.8","25.5","21.5","15.4","9.4",".","0.7","0.7",".",".",".",".",".",".",".","."
"301","001","","30","3.533","53.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"301","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","Course Total","","32","3.426","50.0","18.8","12.5","6.3","9.4",".","3.1",".",".",".",".",".",".",".",".","."
"302
Intro to Linguis:Historical","001","","15","2.920","40.0","13.3","13.3","6.7","13.3",".","13.3",".",".",".",".",".",".",".",".","."
"310
Phonology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"322
Morphology","001","","13","3.583","69.2",".","7.7",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"330
Syntax","001","","11","3.409","36.4","18.2","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"340
Semantics","001","","16","2.938","68.8",".","6.3",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"373","001","","8","3.583","50.0",".","12.5","12.5",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"373","002","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","","18","3.656","55.6","11.1","16.7","5.6",".",".",".","5.6",".",".",".",".",".","5.6",".","."
"426
Adv Linguis Anal I:Phonolgy","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"482
Junior Honors Tutorial","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Phonological Theories","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"530
Syntactic Theories","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Intro-Experimntl Phonetics","001","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"584
Senior Honors Tutorial","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Reading","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"778
Compar Gram: Indo-Eur Morph","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"978
Seminar","001","","9","3.870","77.8",".","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"979
Seminar","001","","11","3.773","54.5","18.2",".","9.1",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","3.952","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
