"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","271","3.186","19.6","30.6","27.7","14.4","3.0",".","2.2","2.2",".",".",".",".",".","0.4",".","."
"Directed Study","198
051","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","17","3.317","35.3","17.6","41.2",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","300
002","20","3.339","15.0","55.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","300
003","22","3.552","50.0","22.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","21","3.591","28.6","61.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","22","3.705","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","23","3.431","13.0","56.5","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","23","3.696","39.1","60.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","23","3.521","34.8","39.1","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","21","2.852","9.5","9.5","33.3","42.9",".","4.8",".",".",".",".",".",".",".",".",".","."
"","300
011","17","2.990","5.9","11.8","58.8","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","300
012","25","3.546","36.0","40.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
300","18","3.639","38.9","50.0","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","293","3.493","35.8","37.2","19.5","6.5","0.3","0.7",".",".",".",".",".",".",".",".",".","."
"","001
301","163","2.781","12.9","11.0","36.8","4.3","30.7","3.7",".","0.6",".",".",".",".",".",".",".","."
"","002
301","218","2.945","18.3","13.8","37.6","7.3","19.3","3.2","0.5",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","381","2.875","16.0","12.6","37.3","6.0","24.1","3.4","0.3","0.3",".",".",".",".",".",".",".","."
"","302
001","45","3.443","44.4","13.3","24.4","15.6",".",".",".","2.2",".",".",".",".",".",".",".","."
"","002
302","48","3.042","22.9","10.4","29.2","27.1","10.4",".",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","93","3.234","33.3","11.8","26.9","21.5","5.4",".",".","1.1",".",".",".",".",".",".",".","."
"","303
001","116","3.220","22.4","19.8","51.7","1.7","0.9","1.7","1.7",".",".",".",".",".",".",".",".","."
"","303
002","131","3.395","30.5","19.8","45.8","1.5","0.8",".",".",".",".",".",".",".","0.8","0.8",".","."
"Business Statistics","Course Total","247","3.312","26.7","19.8","48.6","1.6","0.8","0.8","0.8",".",".",".",".",".","0.4","0.4",".","."
"Intermediate Bus Statistics","001
304","116","3.099","10.3","31.9","37.9","12.1","5.2","2.6",".",".",".",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","40","3.713","50.0","42.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","40","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
701","35","3.814","62.9","37.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","75","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
001","16","3.313","25.0","12.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","16","3.533","37.5","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"Data Analysis for Managers","Course Total","32","3.419","31.3","21.9","40.6","3.1",".",".",".",".",".",".",".",".",".","3.1",".","."
"Intro to Decision Theory","705
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","31","3.355","25.8","22.6","48.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","24","3.500","41.7","25.0","29.2",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 53 of 383"
