"Seminar-Biblical Studies","952
001","5","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
003","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
011","8","3.500",".","12.5",".",".",".",".",".","75.0",".",".",".","","12.5",".","",".",".","."
"Research and Thesis","Course Total","9","3.750","11.1","11.1",".",".",".",".",".","66.7",".",".","",".","11.1","",".",".",".","."
"HEBR ST
440","Dept. Total","284","3.248","32.0","23.6","20.1","8.8","3.5","3.2","2.1","5.6","0.7",".","",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","2.789","12.8","23.1","30.8","12.8","5.1","10.3","5.1",".",".",".","",".",".","",".",".",".","."
"Sophomore","","86","3.315","37.2","26.7","16.3","9.3","3.5","2.3","2.3","1.2","1.2",".","",".",".","",".",".",".","."
"Junior","","59","3.338","32.2","22.0","30.5","10.2","1.7","1.7",".","1.7",".",".","",".",".","",".",".",".","."
"Senior","","47","3.121","31.9","21.3","17.0","4.3","8.5","4.3","4.3","6.4","2.1",".","",".",".","",".",".",".","."
"Undergraduates","","231","3.187","30.7","23.8","22.5","9.1","4.3","3.9","2.6","2.2","0.9",".","",".",".","",".",".",".","."
"Special","","13","3.750","53.8","7.7",".","7.7",".",".",".","30.8",".",".","",".",".","",".",".",".","."
"Graduate","","40","3.561","32.5","27.5","12.5","7.5",".",".",".","17.5",".",".","",".","2.5","",".",".",".","."
"","Dept. Total","284","3.248","32.0","23.6","20.1","8.8","3.5","3.2","2.1","5.6","0.7",".","",".","0.4","",".",".",".","."
