"ART EDUCATION (DEPT OF ART) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"","322","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","322","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Elem School Art","423","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","470","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Art","493","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art-Exceptional Education","570","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Practices in Art Ed","900","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","","Course Total","","3","***","","","","","","","","","","","","","","","",""
