"SURGICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544
001","73","4.000","26.0",".",".",".",".",".",".","72.6",".",".",".","1.4",".",".",".","."
"Fundmntls-Anesthesiology I","545
001","73","3.630","57.5","15.1","23.3","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546
001","76","3.533","38.2","31.6","28.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631
001","78","2.891","6.4","10.3","52.6","16.7","14.1",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","77","3.188","14.3","33.8","35.1","9.1","7.8",".",".",".",".",".",".",".",".",".",".","."
"","642
001","33","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","642
201","9","4.000","66.7",".",".",".",".",".",".","22.2",".",".",".",".",".","11.1",".","."
"Large Animal Surgery","Course Total","42","4.000","40.5",".",".",".",".",".",".","57.1",".",".",".",".",".","2.4",".","."
"","001
644","29","4.000","75.9",".",".",".",".",".",".","24.1",".",".",".",".",".",".",".","."
"","644
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Orthopedic Surgery","Course Total","30","4.000","76.7",".",".",".",".",".",".","23.3",".",".",".",".",".",".",".","."
"","645
001","35","4.000","68.6",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","2.9"
"","645
201","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","38","4.000","71.1",".",".",".",".",".",".","26.3",".",".",".",".",".",".",".","2.6"
"Veterinary Anesthesiology","646
001","38","3.824","42.1",".",".",".",".","2.6",".","55.3",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"","675
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","10","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","004
675","15","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","675
005","78","3.250","15.4","32.1","43.6","5.1","3.8",".",".",".",".",".",".",".",".",".",".","."
"","675
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
675","12","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","675
008","20","4.000","65.0",".",".",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","675
009","53","4.000","81.1",".",".",".",".",".",".","18.9",".",".",".",".",".",".",".","."
"","675
010","56","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","257","3.536","39.7","9.7","13.2","1.6","1.2",".",".","34.6",".",".",".",".",".",".",".","."
"","699
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","18","3.978","55.6",".","5.6",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","741
001","34","4.000","20.6",".",".",".",".",".",".","79.4",".",".",".",".",".",".",".","."
"","741
201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","Course Total","35","4.000","22.9",".",".",".",".",".",".","77.1",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","775
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 380 of 383",""
