"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","19","3.289","26.3","31.6","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"289
Honors Independent Study","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","23","3.022","17.4","26.1","26.1","4.3","26.1",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","19","2.921","15.8","5.3","31.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","27","3.296","33.3","18.5","25.9","18.5","3.7",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","6","2.250",".","16.7","33.3",".","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"505
Rumen Microbiology","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.750","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"900","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","41","4.000","34.1",".",".",".",".",".",".","65.9",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","6","3.167","16.7",".","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","4.000","57.9",".",".",".",".",".",".","21.1",".",".",".","21.1",".",".",".","."
