"","990
051","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
067","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research and Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"Independent Reading","999
051","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"IND REL
492","Dept. Total","109","3.498","45.0","21.1","11.9","3.7","6.4","0.9","",".","10.1","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","12","2.649","16.7","16.7","16.7",".","41.7","8.3","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","13","3.012","15.4","23.1","23.1","30.8","7.7",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","27","2.902","18.5","18.5","22.2","14.8","22.2","3.7","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","81","3.740","53.1","22.2","8.6",".","1.2",".","",".","13.6","",".",".","",".","",".","1.2",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","109","3.498","45.0","21.1","11.9","3.7","6.4","0.9","",".","10.1","",".",".","",".","",".","0.9",".",".","."
