"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
001","","29","2.707","6.9","13.8","27.6","24.1","24.1","3.4",".",".",".",".",".",".",".",".",".","."
"","002
211","","33","2.561","18.2","6.1","21.2","15.2","24.2","12.1","3.0",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","62","2.629","12.9","9.7","24.2","19.4","24.2","8.1","1.6",".",".",".",".",".",".",".",".","."
"","250
001","","19","2.632","10.5","5.3","42.1","15.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","250
002","","29","2.914","6.9","31.0","34.5","6.9","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","Course Total","","48","2.802","8.3","20.8","37.5","10.4","14.6","6.3","2.1",".",".",".",".",".",".",".",".","."
"","311
001","","20","2.500","5.0","15.0","20.0","5.0","50.0","5.0",".",".",".",".",".",".",".",".",".","."
"","311
002","","34","2.868","8.8","20.6","26.5","23.5","20.6",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","Course Total","","54","2.731","7.4","18.5","24.1","16.7","31.5","1.9",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","001
320","","49","2.786","14.3","14.3","18.4","24.5","26.5","2.0",".",".",".",".",".",".",".",".",".","."
"","324
002","","12","3.250","41.7","16.7","8.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","324
003","","9","3.167","11.1","11.1","77.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
004","","14","2.964","7.1","21.4","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","324
005","","12","3.125","25.0","16.7","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","47","3.117","21.3","17.0","34.0","19.1","8.5",".",".",".",".",".",".",".",".",".",".","."
"","001
326","","24","2.792","12.5","16.7","16.7","33.3","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"","326
002","","28","3.036","21.4","17.9","32.1","10.7","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","Course Total","","52","2.923","17.3","17.3","25.0","21.2","15.4","3.8",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426
001","","38","2.987","10.5","13.2","52.6","10.5","13.2",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","001
430","","49","3.010","14.3","14.3","42.9","20.4","6.1","2.0",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440
001","","51","2.892","13.7","17.6","33.3","15.7","13.7","5.9",".",".",".",".",".",".",".",".",".","."
"Process Design","450
001","","39","3.077","25.6","23.1","15.4","17.9","15.4","2.6",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470
001","","58","2.750","12.1","15.5","20.7","20.7","27.6","3.4",".",".",".",".",".",".",".",".",".","."
"Heterogeneous Catalysis","001
535","","9","3.500","33.3","22.2","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Polymer Sci & Technology","540
001","","28","2.696","21.4","10.7","25.0","14.3","10.7","14.3","3.6",".",".",".",".",".",".",".",".","."
"Plastics & High Polymer Lab","541
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","","9","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","562
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","562
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562
005","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","562
006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","34","3.852","73.5","11.8","5.9",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"Food Process Engineering","565
001","","16","2.923","18.8",".","31.3","12.5","18.8",".",".","18.8",".",".",".",".",".",".",".","."
"","599
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
