"","990
071","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
072","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
073","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
074","4","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","68","3.972","70.6",".","1.5",".",".",".","",".","17.6","",".",".","",".","10.3","",".",".",".","."
"AHABS
952","Dept. Total","165","3.671","59.4","8.5","13.9","1.8","3.0","0.6","",".","8.5","",".",".","",".","4.2","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.250","50.0",".","50.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","25","3.035","32.0","12.0","24.0","12.0","16.0","4.0","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","29","3.095","37.9","10.3","24.1","10.3","13.8","3.4","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","3","3.000",".",".","33.3",".",".",".","",".","66.7","",".",".","",".",".","",".",".",".","."
"Graduate","","132","3.803","65.2","8.3","11.4",".","0.8",".","",".","9.1","",".",".","",".","5.3","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","165","3.671","59.4","8.5","13.9","1.8","3.0","0.6","",".","8.5","",".",".","",".","4.2","",".",".",".","."
