"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","001
268","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
272","12","3.125","25.0","33.3","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","272
102","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
272","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
104","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","35","3.471","51.4","22.9","11.4","2.9","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philomusica","275
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","26","3.269","23.1","30.8","38.5",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Gender and Music","317
001","17","2.971","23.5","11.8","29.4","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","3","***","","","","","","","","","","","","","","","",""
"","361
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","8","3.375",".","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","27","3.672","66.7","22.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Piano Technology","001
371","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","40
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
003","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","109","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","13","3.154","30.8","30.8","7.7","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","41
001","119","3.975","94.1","5.0",".",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"","41
002","94","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bands","Course Total","213","3.986","96.7","2.8",".",".",".",".",".","0.5",".",".",".",".",".",".",".","."
"Survey Music-Renaissance","412
001","18","3.647","50.0","27.8","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","27","3.420","44.4","11.1","25.9",".","11.1",".",".","7.4",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","24","3.304","41.7","8.3","33.3",".","8.3","4.2",".","4.2",".",".",".",".",".",".",".","."
"Varsity Band","42
001","246","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
