"","990
005","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
011","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
015","2","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","13","4.000","53.8",".",".",".",".","",".",".","30.8","7.7",".","",".","7.7",".",".",".","."
"COMP LIT
260","Dept. Total","482","3.387","32.0","34.2","21.6","5.2","3.3","",".","1.9","0.8","0.2",".","",".","0.2","0.2","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","190","3.218","17.4","37.9","30.0","7.4","4.7","",".","2.1",".",".",".","",".",".",".","0.5",".","."
"Sophomore","","137","3.402","32.8","35.0","23.4","5.1","1.5","",".","2.2",".",".",".","",".",".",".",".",".","."
"Junior","","50","3.433","34.0","38.0","20.0","2.0","4.0","",".","2.0",".",".",".","",".",".",".",".",".","."
"Senior","","37","3.427","43.2","35.1","2.7","8.1","8.1","",".","2.7",".",".",".","",".",".",".",".",".","."
"Undergraduates","","414","3.327","26.8","36.7","24.2","6.0","3.9","",".","2.2",".",".",".","",".",".",".","0.2",".","."
"Special","","1","3.000",".",".","100.0",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","67","3.838","64.2","19.4","4.5",".",".","",".",".","6.0","1.5",".","",".","1.5","1.5","1.5",".","."
"","Dept. Total","482","3.387","32.0","34.2","21.6","5.2","3.3","",".","1.9","0.8","0.2",".","",".","0.2","0.2","0.4",".","."
