"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","152","3.096","19.1","26.3","25.0","14.5","7.9","2.0","1.3","3.3",".",".",".",".",".","0.7",".","."
"","312
001","37","3.243","13.5","37.8","32.4","16.2",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","15","3.267","26.7","33.3","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","52","3.250","17.3","36.5","30.8","13.5",".","1.9",".",".",".",".",".",".",".",".",".","."
"","399
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","3","***","","","","","","","","","","","","","","","",""
"Valuation of Real Estate","001
415","52","3.298","21.2","30.8","38.5","5.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","430
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","45","3.722","46.7","51.1","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Appl-Real Estate Anal","631
001","21","3.719","52.4","9.5","9.5","4.8",".",".",".","19.0",".",".",".",".",".",".","4.8","."
"The Real Estate Process","001
706","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Law","Course Total","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Land Use Controls on Bus","745
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","799
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Real Est Finance Theory","870
001","15","3.357","40.0",".","46.7",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","386","3.345","30.8","29.0","22.5","8.8","3.9","1.0","0.5","2.8",".",".",".",".",".","0.3","0.3","."
