"Burn Surgery Clrkshp (CSC)","961
001","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Critical Care Surgery-CSC","962
001","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Cardiac Surg Clerkship-CSC","963
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"SURGERY
936","Dept. Total","167","3.581","50.9","29.9","13.8","3.0","",".","",".","0.6","0.6","0.6",".","",".","",".","",".",".",".","0.6"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.750","50.0","50.0",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","2","3.750","50.0","50.0",".",".","",".","",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","95","3.546","51.6","23.2","16.8","5.3","",".","",".","1.1",".","1.1",".","",".","",".","",".",".",".","1.1"
"Prof Yr 4","","70","3.705","50.0","38.6","10.0",".","",".","",".",".","1.4",".",".","",".","",".","",".",".",".","."
"Professionals","","165","3.580","50.9","29.7","13.9","3.0","",".","",".","0.6","0.6","0.6",".","",".","",".","",".",".",".","0.6"
"","Dept. Total","167","3.581","50.9","29.9","13.8","3.0","",".","",".","0.6","0.6","0.6",".","",".","",".","",".",".",".","0.6"
