"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","97","3.660","67.0","9.3","16.5","3.1","4.1",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130","001","173","2.368","10.4","12.7","17.9","10.4","25.4","17.3","4.6","0.6",".",".",".",".",".",".",".","0.6"
"Genetics and Human Affairs","133","001","28","2.179","7.1","3.6","7.1","10.7","60.7","7.1","3.6",".",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","30","2.317","6.7","3.3","23.3","6.7","50.0","6.7","3.3",".",".",".",".",".",".",".",".","."
"","152","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","152","002","15","2.967","13.3","26.7","40.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","20","3.000","20.0","20.0","35.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","111","2.770","19.8","18.9","14.4","10.8","26.1","9.0","0.9",".",".",".",".",".",".",".",".","."
"Principles-Plant Structure","305","001","9","3.389","44.4","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Plant Physiology","350","001","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","49","3.260","40.8","6.1","32.7","4.1","12.2","2.0",".","2.0",".",".",".",".",".",".",".","."
"","402","001","16","3.406","43.8","25.0","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","402","002","16","3.313","31.3","25.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","32","3.359","37.5","25.0","21.9","9.4","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","9","2.556","33.3",".","33.3",".","11.1",".","22.2",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","22","3.400","40.9","9.1","27.3","9.1","4.5",".",".","9.1",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Envr Study/UNESCO-Biosphere","463","001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","10","3.100","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Physiology","500","001","42","3.476","26.2","47.6","14.3",".","4.8",".",".","4.8",".",".",".",".",".",".","2.4","."
"Plant-Microbe Interactions","505","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Molecular Approaches","563","001","24","3.905","70.8","16.7",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","575","001","24","3.600","45.8","37.5","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","36","3.673","47.2","41.7","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Biol,Soc&Human Values","590","001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone-Field Biology II","640","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Ecology","665","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","6","3.846","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 170 of 383",""
