"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","302
041","21","2.690","14.3","4.8","38.1","28.6","4.8",".","9.5",".",".",".",".",".",".",".",".","."
"","302
042","16","3.063","18.8","31.3","18.8","6.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","302
043","20","2.800","20.0","20.0","10.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Algebraic Language Program","Course Total","461","2.719","20.0","14.1","20.6","13.7","18.4","6.3","5.6","1.3",".",".",".",".",".",".",".","."
"","310
001","111","2.838","10.8","14.4","36.9","12.6","23.4","0.9","0.9",".",".",".",".",".",".",".",".","."
"","002
310","116","2.776","7.8","13.8","36.2","19.0","19.0","4.3",".",".",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","227","2.806","9.3","14.1","36.6","15.9","21.1","2.6","0.4",".",".",".",".",".",".",".",".","."
"","352
001","38","2.947","21.1","21.1","23.7","15.8","13.2",".","5.3",".",".",".",".",".",".",".",".","."
"","352
002","34","2.912","23.5","14.7","17.6","20.6","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","72","2.931","22.2","18.1","20.8","18.1","15.3","2.8","2.8",".",".",".",".",".",".",".",".","."
"","354
001","54","2.833","27.8","3.7","20.4","25.9","14.8","3.7","3.7",".",".",".",".",".",".",".",".","."
"","354
002","53","2.673","22.6","1.9","17.0","17.0","34.0","3.8","1.9","1.9",".",".",".",".",".",".",".","."
"","354
003","63","2.484","4.8","27.0","15.9","15.9","17.5","12.7","6.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","170","2.654","17.6","11.8","17.6","19.4","21.8","7.1","4.1","0.6",".",".",".",".",".",".",".","."
"","367
001","64","3.016","26.6","25.0","9.4","18.8","15.6","1.6","3.1",".",".",".",".",".",".",".",".","."
"","367
002","70","2.993","20.0","22.9","21.4","15.7","17.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"","004
367","60","2.750","10.0","25.0","20.0","15.0","23.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","005
367","38","3.105","34.2","10.5","31.6","10.5","5.3","5.3","2.6",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","232","2.955","21.6","22.0","19.4","15.5","16.4","2.6","2.6",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","96","2.600","13.5","14.6","21.9","10.4","24.0","12.5","2.1","1.0",".",".",".",".",".",".",".","."
"Computer Graphics","458
001","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","8","3.063","25.0","12.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","10","2.500","30.0","20.0","10.0",".","10.0","10.0","20.0",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","46","3.413","37.0","23.9","30.4","2.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Thry&Appl of Pattrn Recgntn","532
001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","66","3.160","31.8","24.2","16.7","15.2","7.6",".","3.0","1.5",".",".",".",".",".",".",".","."
"","537
001","76","3.288","32.9","30.3","15.8","13.2","6.6",".","1.3",".",".",".",".",".",".",".",".","."
"","537
002","71","3.203","29.6",".","62.0",".","8.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","147","3.246","31.3","15.6","38.1","6.8","7.5",".","0.7",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","81","2.945","19.8","27.2","16.0","17.3","12.3","6.2","1.2",".",".",".",".",".",".",".",".","."
"","552
001","8","3.000","12.5","37.5","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","552
002","16","3.094","18.8","18.8","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","24","3.063","16.7","25.0","29.2","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558
001","11","3.611","54.5",".","18.2","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","76","2.973","17.1","27.6","22.4","21.1","6.6","3.9","1.3",".",".",".",".",".",".",".",".","."
"","001
577","59","2.940","11.9","23.7","28.8","15.3","15.3","3.4",".","1.7",".",".",".",".",".",".",".","."
"","577
002","19","3.553","42.1","36.8","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","78","3.091","19.2","26.9","25.6","11.5","12.8","2.6",".","1.3",".",".",".",".",".",".",".","."
"Survey of Math Programming","635
001","17","3.654","29.4","41.2","5.9",".",".",".",".","23.5",".",".",".",".",".",".",".","."
"","638
001","31","3.742","64.5","22.6","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","638
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Topics-Computing","Course Total","32","3.750","65.6","21.9","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
