"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Sociol-Mental Hlth&Disorder","525","001","","65","3.011","9.2","30.8","36.9","7.7","3.1","1.5","4.6","6.2",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Behavior Dynamics","537","001","","16","3.378","31.3","37.5","6.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Bhv & Natural Resources","541","001","","10","3.150","20.0","30.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","","30","3.552","33.3","40.0","23.3",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"Blacks in Cities","577","002","","24","2.896","16.7","20.8","20.8","16.7","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"Social Ecol of Amazon Basin","613","001","","14","3.650","42.9","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Soc Structrs-Muslim Society","614","001","","10","3.333","20.0","40.0","20.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Sociology of Culture","616","001","","27","3.574","48.1","33.3","14.8",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Critical Sociol","622","001","","7","3.750","42.9","42.9",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Social Change","625","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devl Countries II","629","001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Complex Organization","632","001","","34","3.234","35.3","17.6","20.6","8.8","8.8",".","2.9","2.9",".",".",".",".",".","2.9",".","."
"Sociology of the Family","640","002","","26","3.481","46.2","19.2","15.4","11.5","3.8",".",".",".",".",".",".",".",".",".","3.8","."
"Sociology and Law","641","001","","93","3.044","22.6","20.4","25.8","11.8","10.8","4.3","1.1","1.1",".",".",".",".","1.1","1.1",".","."
"Soc-Occupations&Professions","643","001","","29","3.603","51.7","24.1","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","645","001","","37","3.324","32.4","16.2","35.1","16.2",".",".",".",".",".",".",".",".",".",".",".","."
"","645","002","","36","3.543","36.1","33.3","27.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Modern American Communities","","Course Total","","73","3.431","34.2","24.7","31.5","8.2",".",".",".","1.4",".",".",".",".",".",".",".","."
"Race and Ethnic Relations","646","001","","38","3.431","44.7","15.8","26.3","2.6","2.6",".","2.6",".",".",".",".",".","2.6","2.6",".","."
"Economic Sociology I","651","001","","12","3.727","58.3","16.7","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Elem Demographic Techniques","674","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 295 of 383",""
