"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","271
005","","18","3.333","27.8","33.3","27.8",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","57","3.447","42.1","31.6","17.5","1.8","3.5","1.8","1.8",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","001
284","","14","3.462","42.9","28.6","7.1",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"","288
001","","14","3.857","64.3","28.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","288
002","","13","3.576","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","Course Total","","27","3.710","59.3","22.2","11.1","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Directed Study","299
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","14","3.393","28.6","21.4","35.7","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","311
002","","11","3.425","45.5","9.1","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","25","3.409","36.0","16.0","36.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","321
001","","18","3.714","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","","20","3.471","25.0","45.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","38","3.588","36.8","44.7","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","001
322","","24","3.410","29.2","33.3","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","003
322","","17","3.468","35.3","29.4","29.4",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","41","3.436","31.7","31.7","31.7",".","4.9",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","20","3.596","40.0","40.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
347","","19","3.322","26.3","26.3","31.6","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","39","3.469","33.3","33.3","23.1","5.1","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Civ France:Revolutn-contemp","001
348","","30","3.688","53.3","26.7","16.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","449
203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"African Prose&Poetry-French","454
001","","22","3.153","18.2","18.2","50.0","4.5",".",".","4.5","4.5",".",".",".",".",".",".",".","."
"Topics in French Literature","461
203","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","17","3.384","23.5","41.2","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","523
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","523
203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech d Exprssn Ecrit&Oral I","Course Total","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","11","3.542","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Thry/Prac-Francophone Drama","595
001","","16","3.656","62.5","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Le Theatre Au 18e Siecle","634
001","","9","3.625","44.4","33.3",".","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"Le Roman Francais 1800-1850","635
001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","639
001","","12","3.833","50.0","25.0",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Poesie Francaise 19 Et 20 S","658
001","","10","3.556","50.0","20.0","10.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
