"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","52","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","20","3.000","35.0","30.0","15.0",".","5.0",".","15.0",".",".",".",".",".",".",".",".","."
"","160
002","20","2.975","25.0","25.0","10.0","20.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","160
003","19","3.289","42.1","21.1","15.8","15.8",".",".","5.3",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","59","3.085","33.9","25.4","13.6","11.9","6.8",".","8.5",".",".",".",".",".",".",".",".","."
"","170
001","17","3.265","23.5","35.3","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","170
002","19","3.342","36.8","31.6","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","170
004","19","3.632","68.4","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","55","3.418","43.6","29.1","16.4","3.6","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","001
231","137","2.967","13.9","18.2","34.3","19.0","12.4",".","1.5",".",".",".",".",".",".","0.7",".","."
"Geom Modeling-Engr Applcatn","001
232","94","3.117","14.9","28.7","31.9","13.8","10.6",".",".",".",".",".",".",".",".",".",".","."
"","240
002","23","2.717","21.7","8.7","17.4","21.7","17.4","13.0",".",".",".",".",".",".",".",".",".","."
"","240
003","27","2.704","14.8","11.1","33.3","11.1","22.2",".","7.4",".",".",".",".",".",".",".",".","."
"","004
240","19","2.868","10.5","21.1","26.3","26.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","005
240","16","2.688","18.8","6.3","18.8","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","85","2.741","16.5","11.8","24.7","18.8","20.0","5.9","2.4",".",".",".",".",".",".",".",".","."
"","006
291","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","291
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","306
001","23","2.587","26.1","4.3","13.0","17.4","26.1","4.3","8.7",".",".",".",".",".",".",".",".","."
"","306
002","18","2.917","16.7","5.6","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"","306
003","22","2.841","22.7","13.6","18.2","18.2","22.7",".","4.5",".",".",".",".",".",".",".",".","."
"","306
004","22","2.841","9.1","9.1","36.4","31.8","13.6",".",".",".",".",".",".",".",".",".",".","."
"","306
005","14","2.964","28.6","21.4","7.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","99","2.813","20.2","10.1","22.2","23.2","19.2","2.0","3.0",".",".",".",".",".",".",".",".","."
"","307
001","15","2.900","26.7","6.7","26.7","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","002
307","9","3.111","22.2","11.1","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","19","3.289","21.1","36.8","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","004
307","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","12","3.375","25.0","33.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","14","3.214","28.6","14.3","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","87","3.264","27.6","25.3","31.0","9.2","4.6","2.3",".",".",".",".",".",".",".",".",".","."
"","313
001","36","3.271","11.1","52.8","19.4","11.1",".","2.8",".",".",".",".",".",".",".","2.8",".","."
"","313
002","37","3.319","27.0","24.3","29.7","16.2",".",".",".","2.7",".",".",".",".",".",".",".","."
"","313
003","36","3.181","16.7","36.1","22.2","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","109","3.257","18.3","37.6","23.9","14.7","2.8","0.9",".","0.9",".",".",".",".",".","0.9",".","."
"","314
001","32","2.969","3.1","21.9","50.0","15.6","9.4",".",".",".",".",".",".",".",".",".",".","."
"","314
002","25","2.860",".","24.0","36.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","314
003","15","2.767",".","26.7","20.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","72","2.889","1.4","23.6","38.9","23.6","12.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","001
340","71","2.739","11.3","11.3","16.9","40.8","18.3",".","1.4",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","342
001","56","2.527","10.7","16.1","12.5","19.6","28.6","5.4","5.4","1.8",".",".",".",".",".",".",".","."
"","349
001","17","3.206","23.5","5.9","58.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 133 of 383",""
