"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","122","2.922","13.9","22.1","26.2","24.6","7.4","4.1","1.6",".",".",".",".",".",".",".",".","."
"120","002","","136","2.757","8.8","19.9","27.2","21.3","14.7","6.6","1.5",".",".",".",".",".",".",".",".","."
"120","003","","103","3.026","14.6","22.3","25.2","21.4","10.7","1.0",".","3.9",".",".",".",".",".","1.0",".","."
"Science of Food","Course Total","","361","2.888","12.2","21.3","26.3","22.4","11.1","4.2","1.1","1.1",".",".",".",".",".","0.3",".","."
"235
Nature of Food","001","","69","3.159","37.7","8.7","30.4","2.9","15.9","4.3",".",".",".",".",".",".",".",".",".","."
"236","001","","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"236","003","","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","30","3.700","63.3","23.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"305
Intro-Meat Sci & Technology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Regulatory & Qual Standards","001","","67","2.977","9.0","23.9","34.3","22.4","7.5",".","1.5",".",".",".",".",".",".",".","1.5","."
"399","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"410
Food Chemistry I","001","","29","3.034","20.7","24.1","20.7","10.3","24.1",".",".",".",".",".",".",".",".",".",".","."
"421
Ice Cream,Conc & Dried Milk","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
Stat-Food Indst Qual Contrl","001","","8","3.000","25.0",".","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"514
Food Chemistry II","001","","12","3.100","16.7","25.0","16.7","8.3","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"532
Food Processing II","001","","15","2.967","20.0","20.0","26.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","47","3.163","12.8","31.9","31.9","17.0","4.3",".",".",".",".",".",".",".",".",".","2.1","."
"539
Org & Mgmt of Food Services","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"542
Food Engineering Operations","001","","15","2.833","6.7","26.7","26.7","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"550
Food Fermentations","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Career Orientation","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"610
Food Proteins","001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honors Thesis","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 23 of 383"
