"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"301
Terr Vertbrt:Life Hist&Ecol","001","","60","2.992","21.7","16.7","25.0","15.0","16.7","3.3",".",".",".",".",".",".","1.7",".",".","."
"335
Hum/An Relatn:Bio&Phils Iss","001","","24","2.761","4.2","12.5","45.8","8.3","20.8","4.2",".",".",".",".",".",".","4.2",".",".","."
"367
Pesticides-Iss & Applicator","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","47","3.277","27.7","14.9","46.8","6.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"379
Princ-Wildlife Management","001","","79","2.647","10.1","12.7","30.4","19.0","16.5","5.1","5.1",".",".",".",".",".","1.3",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"515
Renewable Resources Policy","001","","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","12","2.625","8.3","33.3","8.3","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"655
Animal Population Dynamics","001","","44","2.670","6.8","22.7","27.3","11.4","20.5","9.1","2.3",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
Seminar","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","26","4.000","73.1",".",".",".",".",".",".","11.5",".",".",".","15.4",".",".",".","."
