"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","93","3.140","26.9","18.3","30.1","14.0","7.5","2.2","1.1",".",".",".",".",".",".",".",".","."
"","002
350","112","3.189","23.2","25.0","25.9","16.1","8.9",".",".",".",".",".",".",".",".","0.9",".","."
"","003
350","91","3.044","27.5","7.7","34.1","14.3","13.2","3.3",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","296","3.129","25.7","17.6","29.7","14.9","9.8","1.7","0.3",".",".",".",".",".",".","0.3",".","."
"Principles & Tech-Qual Mgmt","001
351","16","3.688","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research II","411
001","10","3.050","10.0","20.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","10","3.650","60.0","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578
001","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","654
001","29","3.500","41.4","27.6","20.7","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research II","711
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","28","3.339","32.1","21.4","32.1","10.7","3.6",".",".",".",".",".",".",".",".",".",".","."
"","002
730","29","3.293","17.2","37.9","34.5","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","57","3.316","24.6","29.8","33.3","8.8","3.5",".",".",".",".",".",".",".",".",".",".","."
"","750
001","26","3.673","57.7","19.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
750","27","3.704","59.3","22.2","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","53","3.689","58.5","20.8","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","41","3.346","31.7","31.7","12.2","9.8","9.8",".",".",".",".",".",".",".",".","4.9",".","."
"","002
768","39","3.526","35.9","46.2","10.3","2.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"Quality Management","Course Total","80","3.436","33.8","38.8","11.3","6.3","7.5",".",".",".",".",".",".",".",".","2.5",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","16","3.594","18.8","81.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
073","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
089","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","23","3.773","60.9","13.0","13.0",".",".",".",".",".",".",".",".",".","8.7","4.3",".","."
"Econ Anal-Bus Decisions","830
001","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Plan-Qual/New Servc&Prodct","860
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
089","1","***","","","","","","","","","",".",".",".",".",".",".","."
