"","990
027","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
029","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
030","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Thesis-Research","Course Total","34","4.000","44.1",".",".",".",".",".",".","44.1","",".",".","",".","11.8","",".",".",".","."
"CBE
220","Dept. Total","808","3.043","28.0","12.5","22.3","13.1","13.2","2.8","0.4","5.3","",".","0.2","",".","2.0","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","40","2.921","10.0","25.0","35.0","10.0","15.0","5.0",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","158","2.823","15.2","13.3","28.5","19.6","20.3","3.2",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","480","2.987","28.1","14.0","24.0","14.6","14.2","3.3","0.6","1.0","",".",".","",".",".","",".","0.2",".","."
"Undergraduates","","678","2.942","24.0","14.5","25.7","15.5","15.6","3.4","0.4","0.7","",".",".","",".",".","",".","0.1",".","."
"Special","","17","3.564","58.8","11.8","17.6","5.9","5.9",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","119","3.949","49.6","0.8","2.5",".",".",".",".","31.9","",".","1.7","",".","13.4","",".",".",".","."
"","Dept. Total","814","3.043","28.5","12.4","22.1","13.0","13.1","2.8","0.4","5.3","",".","0.2","",".","2.0","",".","0.1",".","."
