"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.875","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Small Groups in Social Work","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Assess&Treat Chld&Adolescnt","001","","32","3.563","50.0","21.9","21.9","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chron Ill Chld","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"800","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"800","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","4","***","","","","","","","","","","","","","","","",""
"801","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","005","","12","3.914","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"801","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","012","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","013","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"801","039","","6","3.919","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","045","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","050","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"801","070","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","072","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","112","3.941","87.5","11.6",".",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"823
Family Law II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"841
Administration-Social Work","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Case Management","001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Women & Soc Work Practice","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"862
Recent Developmnts-Soc Work","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"867
Recent Developmnts-Soc Work","001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"869
Recent Developmnts-Soc Work","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"870
Mental Illness-Comm Treatmt","001","","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"934
Problems-Mental Retardation","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Ethicl Behav-Soc Work Pract","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"949
Proseminar","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
PhD Proseminar","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
